Genre,Year,Rating
Animation,2010,5.7
 Action,2007,5.7
 Action,2008,5.7
 Action,2009,5.7
 Action,2010,5.7
 Adventure,2007,5.7
 Adventure,2008,5.7
 Adventure,2009,5.7
 Adventure,2010,5.7
Drama,2014,7.9
 Music,2014,7.9
 Romance,2014,7.9
Drama,2017,7.7
 Romance,2017,7.7
Drama,2019,7.7
 Mystery,2019,7.7
 Thriller,2019,7.7
Comedy,2018,7.8
 Romance,2018,7.8
Drama,2022,-
 Fantasy,2022,-
 Horror,2022,-
Drama,2016,7.6
Comedy,2021,1.8
 Drama,2021,1.8
 Sport,2021,1.8
Drama,2019,8.4
 Sport,2019,8.4
Fantasy,2020,7.7
 Mystery,2020,7.7
 Thriller,2020,7.7
Drama,2018,7.7
 Thriller,2018,7.7
Crime,2017,7.8
 Drama,2017,7.8
 Thriller,2017,7.8
Comedy,2016,7.7
 Drama,2016,7.7
 Romance,2016,7.7
Drama,2018,8.2
 Mystery,2018,8.2
 Romance,2018,8.2
Drama,2018,7.1
 Romance,2018,7.1
Animation,2001,6.3
Animation,2002,6.3
Animation,2003,6.3
 Action,2001,6.3
 Action,2002,6.3
 Action,2003,6.3
 Adventure,2001,6.3
 Adventure,2002,6.3
 Adventure,2003,6.3
Comedy,2021,7.2
 Fantasy,2021,7.2
 Romance,2021,7.2
Comedy,2021,7.4
 Drama,2021,7.4
Fantasy,2018,7.6
 Romance,2018,7.6
Comedy,2020,6.5
 Drama,2020,6.5
 Fantasy,2020,6.5
Drama,2021,7.0
 Romance,2021,7.0
Drama,2010,8.1
 History,2010,8.1
 Romance,2010,8.1
Crime,2020,6.5
 Drama,2020,6.5
 Romance,2020,6.5
Drama,2019,7.7
 Mystery,2019,7.7
 Thriller,2019,7.7
History,2021,7.6
 Romance,2021,7.6
Comedy,2015,7.3
 Drama,2015,7.3
 Romance,2015,7.3
Drama,2020,7.2
 Fantasy,2020,7.2
 Mystery,2020,7.2
Comedy,2004,7.9
 Romance,2004,7.9
Comedy,2013,8.2
 Fantasy,2013,8.2
 Horror,2013,8.2
Comedy,2012,7.2
 Romance,2012,7.2
Comedy,2020,6.5
 Fantasy,2020,6.5
 Romance,2020,6.5
Comedy,2021,7.5
 Drama,2021,7.5
 Romance,2021,7.5
Comedy,2020,7.4
 Drama,2020,7.4
 Romance,2020,7.4
Fantasy,2019,7.7
 Mystery,2019,7.7
