Title,Year,Genre,Rating
Wok of Love,"('2018', '2018')","['Comedy', ' Romance']",7.5
Bakugan Battle Brawlers,"('2007', '2010')","['Animation', ' Action', ' Adventure']",5.7
Secret Love Affair,"('2014', '2014')","['Drama', ' Music', ' Romance']",7.9
Seven Day Queen,"('2017', '2017')","['Drama', ' Romance']",7.7
Kill It,"('2019', '2019')","['Drama', ' Mystery', ' Thriller']",7.7
Still 17,"('2018', '2018')","['Comedy', ' Romance']",7.8
All of Us Are Dead,"('2022', '2022')","['Drama', ' Fantasy', ' Horror']",-
Marriage Contract,"('2016', '2016')",['Drama'],7.6
Racket Boys,"('2021', '2021')","['Comedy', ' Drama', ' Sport']",1.8
Stove League,"('2019', '2019')","['Drama', ' Sport']",8.4
Memorist,"('2020', '2020')","['Fantasy', ' Mystery', ' Thriller']",7.7
Life,"('2018', '2018')","['Drama', ' Thriller']",7.7
Mad Dog,"('2017', '2017')","['Crime', ' Drama', ' Thriller']",7.8
Dakteoseu,"('2016', '2016')","['Comedy', ' Drama', ' Romance']",7.7
Misty,"('2018', '2018')","['Drama', ' Mystery', ' Romance']",8.2
Where Stars Land,"('2018', '2018')","['Drama', ' Romance']",7.1
The Mummy,"('2001', '2003')","['Animation', ' Action', ' Adventure']",6.3
"Hello, Me!","('2021', '2021')","['Comedy', ' Fantasy', ' Romance']",7.2
So Not Worth It,"('2021', '2021')","['Comedy', ' Drama']",7.4
Familiar Wife,"('2018', '2018')","['Fantasy', ' Romance']",7.6
The School Nurse Files,"('2020', '2020')","['Comedy', ' Drama', ' Fantasy']",6.5
My Sweet Dear,"('2021', '2021')","['Drama', ' Romance']",7.0
Dong Yi,"('2010', '2010')","['Drama', ' History', ' Romance']",8.1
Private Lives,"('2020', '2020')","['Crime', ' Drama', ' Romance']",6.5
Doctor Prisoner,"('2019', '2019')","['Drama', ' Mystery', ' Thriller']",7.7
River Where the Moon Rises,"('2021', '2021')","['History', ' Romance']",7.6
Peurodyusa,"('2015', '2015')","['Comedy', ' Drama', ' Romance']",7.3
The Cursed,"('2020', '2020')","['Drama', ' Fantasy', ' Mystery']",7.2
Full House,"('2004', '2004')","['Comedy', ' Romance']",7.9
The Master's Sun,"('2013', '2013')","['Comedy', ' Fantasy', ' Horror']",8.2
To the Beautiful You,"('2012', '2012')","['Comedy', ' Romance']",7.2
To All the Guys Who Loved Me,"('2020', '2020')","['Comedy', ' Fantasy', ' Romance']",6.5
Police University,"('2021', '2021')","['Comedy', ' Drama', ' Romance']",7.5
Into the Ring,"('2020', '2020')","['Comedy', ' Drama', ' Romance']",7.4
He is Psychometric,"('2019', '2019')","['Fantasy', ' Mystery', ' Romance']",7.7
"At A Distance, Spring Is Green","('2021', '2021')","['Drama', ' Romance']",8.2
Live,"('2018', '2018')","['Comedy', ' Crime', ' Drama']",8.3
Goedam,"('2020', '2020')","['Short', ' Horror', ' Mystery']",5.8
High Class,"('2021', '2021')","['Drama', ' Mystery']",7.5
Train,"('2020', '2020')","['Fantasy', ' Mystery', ' Sci-Fi']",7.9
Bing-ui,"('2019', '2019')","['Comedy', ' Crime', ' Drama']",6.8
Special Agent Oso,"('2009', '2012')","['Animation', ' Action', ' Adventure']",5.2
Watcher,"('2019', '2019')","['Crime', ' Drama', ' Thriller']",7.9
The Smile Has Left Your Eyes,"('2018', '2018')","['Drama', ' Mystery', ' Romance']",7.7
Bad Guys,"('2014', '2014')","['Action', ' Crime', ' Thriller']",7.9
Love with Flaws,"('2019', '2019')",['Romance'],7.2
Drama Stage,"('2017', '2017')",['Drama'],8.0
A Piece of Your Mind,"('2020', '2020')","['Comedy', ' Romance']",7.4
Who Are You: School 2015,"('2015', '2015')","['Drama', ' Mystery', ' Romance']",7.7
Nobody Knows,"('2020', '2020')","['Crime', ' Drama', ' Mystery']",8.2
The Best Hit,"('2017', '2017')","['Comedy', ' Fantasy']",7.4
Sell Your Haunted House,"('2021', '2021')","['Comedy', ' Fantasy', ' Horror']",7.8
Leverage,"('2019', '2019')","['Action', ' Crime', ' Drama']",8.4
Love,"('2021', '2021')","['Drama', ' Romance']",6.5
Shinui,"('2012', '2012')","['Drama', ' Fantasy', ' History']",8.0
Ultimate Beastmaster,"('2017', '2018')","['Game-Show', ' Reality-TV']",7.3
Dark Hole,"('2021', '2021')","['Action', ' Fantasy', ' Mystery']",6.1
"Hyde, Jekyll, Me","('2015', '2015')","['Comedy', ' Drama', ' Romance']",7.0
The Secret Life of My Secretary,"('2019', '2019')","['Comedy', ' Romance']",7.3
Another Miss Oh,"('2016', '2016')","['Comedy', ' Fantasy', ' Romance']",7.8
Sungkyunkwan Scandal,"('2010', '2010')","['Comedy', ' Drama', ' History']",7.8
Hello Monster,"('2015', '2015')","['Crime', ' Mystery', ' Romance']",7.8
